Main document class|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
revtex4|texmf-dist|tex|latex/graphics|graphics.sty|5.440
revtex4|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|5.439
revtex4|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|5.439
revtex4|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|5.437
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txex.tfm|5.430
revtex4|texmf-dist|tex|latex/graphics|keyval.sty|5.399
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmr10.pfb|5.379
revtex4|texmf-dist|tex|latex/graphics|graphicx.sty|5.379
revtex4|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|5.364
revtex4|texmf-dist|tex|latex/latexconfig|graphics.cfg|5.352
amsart|texmf-dist|fonts|tfm/public/cm|cmtt10.tfm|5.337
article|texmf-var|fonts|map/pdftex/updmap|pdftex.map|5.327
article|texmf-dist|tex|latex/pdftex-def|pdftex.def|5.299
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txb.tfm|5.299
article|texmf-dist|tex|context/base|supp-pdf.mkii|5.297
amsart|texmf-dist|fonts|tfm/public/amsfonts/euler|eufm10.tfm|5.276
revtex4|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|5.273
amsart|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|5.242
amsart|texmf-dist|fonts|tfm/public/amsfonts/euler|eufm7.tfm|5.238
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmex10.pfb|5.194
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmr8.pfb|5.129
article|texmf-var|web2c|pdftex|pdflatex.fmt|5.114
amsart|texmf-dist|fonts|tfm/public/latex-fonts|lasy6.tfm|5.080
amsart|texmf-dist|tex|latex/amsmath|amscd.sty|5.061
revtex4|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|5.054
elsarticle|texmf-dist|tex|latex/graphics|dvipsnam.def|5.041
amsart|texmf-dist|tex|latex/amsfonts|ueuf.fd|5.038
amsart|texmf-dist|tex|generic/ifxetex|ifxetex.sty|5.031
amsart|texmf-dist|tex|latex/graphics|dvipsnam.def|5.027
amsart|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|5.027
article|texmf-dist|fonts|tfm/public/cm|cmtt10.tfm|5.013
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmsy10.pfb|4.967
