First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|fonts|tfm/public/ae|aebx8.tfm|0.058
texmf-dist|tex|latex/mathdesign|mdsffont.def|0.058
texmf-dist|fonts|enc/dvips/mnsymbol|MnSymbolC.enc|0.058
texmf-dist|tex|latex/mathdesign|mdttfont.def|0.058
texmf-dist|tex|latex/mathdesign|mdfont.def|0.058
texmf-dist|fonts|tfm/adobe/courier|pcrro7t.tfm|0.058
texmf-dist|fonts|vf/adobe/helvetic|phvr8t.vf|0.058
texmf-dist|fonts|enc/dvips/mnsymbol|MnSymbolE.enc|0.058
texmf-dist|tex|latex/listings|lstlang2.sty|0.058
texmf-dist|tex|latex/numprint|numprint.sty|0.057
texmf-dist|tex|generic/babel-german|german.ldf|0.057
texmf-dist|fonts|tfm/adobe/courier|pcrb8r.tfm|0.057
texmf-dist|tex|latex/aeguill|aeguill.sty|0.057
texmf-dist|fonts|type1/public/mnsymbol|MnSymbol10.pfb|0.057
texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolS9.tfm|0.057
texmf-dist|tex|latex/pgfopts|pgfopts.sty|0.057
texmf-dist|tex|latex/mdframed|md-frame-0.mdf|0.057
texmf-dist|tex|latex/doi|doi.sty|0.057
texmf-dist|tex|generic/babel-german|germanb.ldf|0.057
texmf-dist|fonts|tfm/public/amsfonts/euler|eusb7.tfm|0.057
texmf-dist|fonts|type1/urw/courier|ucrb8a.pfb|0.057
texmf-dist|tex|latex/prettyref|prettyref.sty|0.056
texmf-dist|fonts|type1/urw/helvetic|uhvro8a.pfb|0.056
texmf-dist|tex|latex/greek-fontenc|lgrenc.def|0.056
texmf-dist|tex|latex/greek-fontenc|greek-fontenc.def|0.056
texmf-dist|fonts|tfm/jknappen/ec|ecsx1095.tfm|0.056
texmf-dist|fonts|tfm/adobe/courier|pcrb7t.tfm|0.056
texmf-dist|fonts|enc/dvips/mnsymbol|MnSymbolD.enc|0.056
texmf-dist|fonts|vf/adobe/times|ptmbi8t.vf|0.056
texmf-dist|fonts|tfm/public/mathpazo|zplmb7m.tfm|0.056
texmf-dist|tex|latex/tabls|tabls.sty|0.056
texmf-dist|tex|latex/pgf/compatibility|pgfarrows.sty|0.056
texmf-dist|doc|latex/frankenstein|moredefs.tex|0.056
texmf-dist|fonts|tfm/public/amsfonts/cyrillic|wncyr6.tfm|0.054
texmf-dist|fonts|tfm/adobe/courier|pcrro8t.tfm|0.054
texmf-dist|fonts|tfm/public/lm|rm-lmri12.tfm|0.054
texmf-dist|tex|generic/babel|russianb.ldf|0.054
texmf-dist|tex|latex/oberdiek|ifdraft.sty|0.054
texmf-dist|tex|latex/easy|easybmat.sty|0.053
texmf-dist|tex|latex/changes|changes.sty|0.053
texmf-dist|tex|latex/base|ot4enc.def|0.053
texmf-dist|tex|latex/feynmf|feynmf.sty|0.053
texmf-dist|fonts|type1/public/cm-super|sfcc0900.pfb|0.053
texmf-dist|tex|latex/fancyhdr|fancyheadings.sty|0.053
texmf-dist|fonts|tfm/adobe/helvetic|phvro8r.tfm|0.053
texmf-dist|fonts|type1/public/xypic|xycmbt10.pfb|0.053
texmf-dist|tex|latex/pst-pdf|pst-pdf.sty|0.053
texmf-dist|fonts|vf/adobe/helvetic|phvb7t.vf|0.053
texmf-dist|fonts|type1/public/amsfonts/cm|cmb10.pfb|0.053
texmf-dist|fonts|tfm/public/mathpazo|zplmb7y.tfm|0.053
texmf-dist|fonts|type1/public/cm-super|sfbi1000.pfb|0.053
texmf-dist|fonts|type1/urw/courier|ucrro8a.pfb|0.053
texmf-dist|fonts|tfm/public/pxfonts|pxbi.tfm|0.053
texmf-dist|fonts|type1/public/xypic|xycmat10.pfb|0.053
texmf-dist|tex|latex/polski|ot4cmr.fd|0.053
texmf-dist|fonts|tfm/adobe/courier|pcrro8r.tfm|0.053
texmf-dist|tex|latex/rotfloat|rotfloat.sty|0.053
texmf-dist|tex|latex/blkarray|blkarray.sty|0.053
texmf-dist|tex|latex/filecontents|filecontents.sty|0.053
texmf-dist|fonts|enc/dvips/mnsymbol|MnSymbolA.enc|0.052
texmf-dist|tex|latex/oberdiek|bkm-dvips.def|0.052
texmf-dist|tex|latex/adjustbox|tc-dvips.def|0.052
texmf-dist|tex|latex/lettrine|lettrine.sty|0.052
texmf-dist|fonts|tfm/public/lm|ec-lmss10.tfm|0.052
texmf-dist|tex|latex/oberdiek|transparent.sty|0.052
